CUST_ID;PHONE;CONTACTS
C10197;+1 215-961-6177;2
C10198;+1 203-440-2855;0
C10199;+1 203-722-5101;2
C10200;+1 216-919-6354;3
C10201;+1 214-983-3331;0
C10202;+1 704-305-8187;3
C10203;+1 206-879-8324;1
C10204;+1 206-972-9804;0
C10205;+1 302-918-5430;1
C10206;+1 310-621-0070;1
C10207;+1 217-643-9820;1
C10208;+1 205-412-6254;1
C10209;+1 210-808-9759;0
C10211;+1 520-493-3552;1
C10212;+1 317-656-5223;3
C10213;+1 201-508-9140;0
C10214;+1 217-639-5567;1
C10215;+1 213-998-9339;0
C10216;+1 213-862-6189;1
C10217;+1 234-299-5579;3
C10218;+1 346-551-0890;1
C10219;+1 424-793-9845;2
C10220;+1 201-577-5042;1
C10221;+1 407-376-9154;1
C10222;+1 409-263-2983;1
C10223;+1 408-510-2839;2
C10224;+1 530-950-1608;0
C10226;+1 220-710-5155;1
C10227;+1 406-847-4320;2
C10228;+1 404-452-4413;0
C10229;+1 305-258-2859;1
C10230;+1 202-411-3152;1
C10231;+1 425-494-9626;0
C10232;+1 225-313-3698;3
C10233;+1 210-788-9213;3
C10234;+1 214-831-8984;1
C10235;+1 234-830-5471;0
C10236;+1 228-999-9705;3
C10237;+1 239-573-9214;2
C10238;+1 307-932-5660;3
C10239;+1 214-479-1485;0
C10240;+1 539-496-8693;3
C10241;+1 540-484-4463;0
C10242;+1 314-994-0885;3
C10243;+1 307-259-4736;0
C10244;+1 301-394-9968;1
C10245;+1 309-305-3419;1
C10246;+1 301-334-9511;2
C10247;+1 540-665-2872;1
C10248;+1 205-712-6090;3
C10249;+1 202-583-4479;1
C10250;+1 203-838-8222;3
C10251;+1 218-430-1751;1
C10252;+1 202-327-8139;2
C10253;+1 408-651-1263;0
C10254;+1 908-964-7581;2
C10255;+1 229-529-9716;1
C10256;+1 228-986-9948;0
C10257;+1 203-275-7283;1
C10258;+1 308-760-2973;2
C10259;+1 203-698-4595;3
C10260;+1 906-276-6195;2
C10261;+1 209-317-5419;2
C10262;+1 209-226-5817;1
C10263;+1 205-860-5647;0
C10265;+1 228-824-2185;2
C10266;+1 405-855-4558;2
C10267;+1 214-793-9615;3
C10269;+1 210-539-6121;3
C10270;+1 417-288-1012;0
C10271;+1 318-997-7184;2
C10272;+1 316-703-4327;0
C10273;+1 417-962-2099;0
C10274;+1 317-812-0934;2
C10275;+1 319-732-5495;1
C10276;+1 310-938-1711;1
C10277;+1 351-300-2750;2
C10278;+1 314-862-1293;1
C10279;+1 219-200-6645;1
C10280;+1 234-707-9464;2
C10281;+1 248-910-8626;2
C10282;+1 618-321-6927;1
C10283;+1 308-595-3093;0
C10284;+1 214-851-0879;3
C10285;+1 206-319-5760;2
C10286;+1 520-702-3556;1
C10287;+1 203-282-6992;3
C10288;+1 803-998-2890;1
C10289;+1 216-531-1232;3
C10290;+1 201-670-0071;0
C10291;+1 239-418-5229;3
C10292;+1 214-224-2330;2
C10293;+1 229-864-7978;1
C10294;+1 332-625-7703;3
C10295;+1 210-347-1011;2
C10296;+1 208-384-9082;2
C10297;+1 239-918-0390;1
C10298;+1 209-684-2152;1
C10299;+1 229-469-3880;3
C10300;+1 203-680-2321;3
C10301;+1 317-230-8404;1
C10302;+1 410-485-0888;1
C10303;+1 205-341-4191;0
C10304;+1 216-278-8943;3
C10305;+1 229-651-8086;1
C10306;+1 317-855-7511;0
C10307;+1 316-880-2754;3
C10308;+1 209-396-1253;1
C10309;+1 520-823-3181;0
C10310;+1 435-696-0006;2
C10311;+1 207-773-6280;1
C10312;+1 213-436-1855;1
C10313;+1 216-904-7089;3
C10314;+1 229-979-1286;1
C10315;+1 218-647-6963;2
C10316;+1 321-404-4352;1
C10317;+1 918-340-2697;0
C10318;+1 231-977-6528;3
C10319;+1 326-725-4218;3
C10320;+1 417-735-2234;2
C10321;+1 214-401-8326;3
C10322;+1 318-461-8822;0
C10323;+1 212-843-8571;2
C10324;+1 202-865-2931;3
C10325;+1 718-593-4548;2
C10326;+1 212-513-0334;2
C10327;+1 304-332-3518;2
C10328;+1 225-638-9085;0
C10329;+1 225-514-3014;2
C10330;+1 516-315-6405;2
C10331;+1 316-529-4795;1
C10332;+1 408-520-9397;2
C10333;+1 216-887-3098;3
C10334;+1 209-519-8395;0
C10335;+1 315-945-3355;0
C10336;+1 212-829-5301;3
C10337;+1 316-937-9173;0
C10338;+1 213-323-3093;2
C10339;+1 445-526-7646;0
C10340;+1 234-576-3374;0
C10341;+1 209-364-9771;3
C10342;+1 203-354-8515;2
C10343;+1 203-703-1322;1
C10344;+1 219-913-2475;2
C10345;+1 410-734-3746;2
C10346;+1 303-526-8492;1
C10347;+1 205-689-7897;0
C10348;+1 520-655-5174;0
C10349;+1 213-992-4517;1
C10350;+1 213-826-4274;3
C10351;+1 208-321-1819;1
C10352;+1 352-245-2721;1
C10353;+1 220-582-8532;2
C10354;+1 201-396-9964;0
C10355;+1 212-532-7446;0
C10356;+1 209-280-8838;0
C10357;+1 346-434-0196;0
C10358;+1 210-664-8210;2
C10359;+1 216-286-5634;2
C10360;+1 412-317-0315;0
C10361;+1 303-844-2631;1
C10362;+1 445-940-9531;3
C10364;+1 319-745-2461;1
C10365;+1 202-803-7526;3
C10366;+1 203-985-7273;1
C10367;+1 218-989-7639;0
C10368;+1 212-425-6128;1
C10369;+1 601-669-0673;3
C10370;+1 202-649-3292;1
C10371;+1 202-844-8844;0
C10372;+1 412-763-4563;1
C10373;+1 404-703-5702;2
C10374;+1 325-732-7008;2
C10375;+1 201-239-8690;1
C10376;+1 309-460-5232;1
C10377;+1 202-251-5457;0
C10378;+1 224-488-3825;2
C10379;+1 434-797-8993;0
C10380;+1 347-780-0893;1
C10381;+1 309-224-1284;2
C10382;+1 313-827-4864;0
C10383;+1 216-993-9489;3
C10384;+1 313-518-9432;3
C10385;+1 203-818-7484;2
C10386;+1 423-792-4001;2
C10387;+1 352-711-5903;3
C10388;+1 718-640-4863;3
C10389;+1 254-539-0650;0
C10390;+1 219-777-3670;0
C10391;+1 215-539-4602;1
C10392;+1 205-323-0901;2
C10393;+1 248-768-1666;0
C10395;+1 228-709-0077;3
C10396;+1 231-313-6684;1
C10397;+1 231-504-1937;3
C10398;+1 317-939-8248;3
C10399;+1 229-805-2790;2
C10400;+1 315-733-8873;1
C10402;+1 702-567-6564;2
C10403;+1 320-355-6510;0
C10404;+1 309-666-8565;3
C10405;+1 332-910-3150;2
C10406;+1 309-571-7874;1
C10407;+1 239-310-9417;2
C10408;+1 731-356-9663;3
C10409;+1 404-301-9879;2
C10410;+1 303-578-8946;1
C10411;+1 419-519-0207;2
C10412;+1 302-407-7683;3
C10413;+1 220-895-8365;0
C10414;+1 520-321-0772;3
C10415;+1 319-603-2263;1
C10416;+1 215-961-2781;1
C10417;+1 325-433-6497;1
C10419;+1 231-409-6169;3
C10420;+1 205-214-5481;1
C10421;+1 207-912-4738;3
C10422;+1 223-764-3534;1
C10423;+1 316-777-8231;1
C10424;+1 301-626-2893;0
C10425;+1 223-642-9684;0
C10426;+1 240-584-8832;3
C10427;+1 217-306-4861;1
C10428;+1 201-567-6038;3
C10429;+1 207-532-9454;0
C10430;+1 234-374-9012;3
C10431;+1 434-518-1028;2
C10432;+1 310-948-6859;1
C10433;+1 240-987-3095;1
C10434;+1 205-491-6361;2
C10435;+1 206-921-8475;2
C10436;+1 513-521-5184;3
C10437;+1 202-560-8011;3
C10438;+1 220-373-5800;2
C10439;+1 423-232-6603;1
C10441;+1 208-556-1784;0
C10442;+1 216-577-5780;3
C10443;+1 210-683-4592;3
C10444;+1 505-954-5085;1
C10445;+1 205-920-1446;3
C10446;+1 301-519-3860;1
C10447;+1 208-273-8340;1
C10448;+1 207-542-7331;3
C10449;+1 216-231-9290;1
C10450;+1 202-391-8561;2
C10451;+1 205-979-5943;3
C10452;+1 404-744-5698;2
C10453;+1 318-886-7998;2
C10454;+1 534-234-2000;0
C10455;+1 435-469-4695;1
C10456;+1 410-282-6839;3
C10457;+1 318-400-0887;0
C10458;+1 201-558-2707;2
C10459;+1 707-795-9129;1
C10460;+1 224-364-1826;0
C10461;+1 302-476-9704;0
C10462;+1 302-550-4476;0
C10463;+1 320-718-3214;3
C10466;+1 502-305-0200;0
C10467;+1 207-219-8371;1
C10468;+1 419-831-2203;2
C10469;+1 218-544-3581;2
C10470;+1 408-912-9021;1
C10471;+1 206-675-0745;0
C10472;+1 847-206-5883;2
C10473;+1 341-994-3008;2
C10474;+1 313-796-8927;0
C10475;+1 231-777-4568;2
C10476;+1 279-373-1986;0
C10477;+1 202-325-1834;3
C10478;+1 216-797-1554;3
C10480;+1 207-783-3497;1
C10481;+1 231-221-0728;2
C10482;+1 516-768-5062;2
C10483;+1 209-279-7600;3
C10484;+1 228-932-2630;2
C10485;+1 434-779-0082;1
C10486;+1 303-724-2574;0
C10487;+1 216-474-6313;3
C10488;+1 323-768-1878;0
C10489;+1 341-775-5516;1
C10490;+1 314-274-8239;1
C10491;+1 202-830-1489;3
C10492;+1 445-716-7231;2
C10493;+1 435-697-3745;3
C10494;+1 423-763-5961;3
C10495;+1 208-306-8658;3
C10497;+1 201-235-0340;3
C10498;+1 321-280-5176;3
C10501;+1 228-985-2584;0
C10502;+1 231-250-8110;3
C10503;+1 209-946-7631;2
C10504;+1 510-412-4367;2
C10505;+1 315-796-4842;0
C10506;+1 430-583-1956;1
C10507;+1 301-560-1401;3
C10508;+1 303-609-2221;0
C10509;+1 224-644-7376;2
C10510;+1 516-262-1739;0
C10511;+1 614-851-7117;0
C10512;+1 351-248-3856;1
C10513;+1 239-225-0824;1
C10514;+1 407-284-7754;1
C10515;+1 220-378-7640;0
C10516;+1 208-512-7708;1
C10517;+1 336-877-2389;3
C10518;+1 507-409-9381;2
C10519;+1 209-417-5533;0
C10520;+1 208-215-5464;2
C10521;+1 231-369-1411;3
C10522;+1 205-797-7927;3
C10523;+1 202-620-8184;1
C10524;+1 612-978-0739;2
C10525;+1 218-496-9154;1
C10526;+1 208-850-0212;0
C10527;+1 231-272-7557;0
C10528;+1 248-469-8399;2
C10529;+1 412-697-8246;1
C10530;+1 201-547-3394;1
C10532;+1 307-573-8598;3
C10533;+1 207-384-6356;0
C10534;+1 618-870-1551;3
C10535;+1 309-664-3194;0
C10536;+1 218-570-8782;1
C10537;+1 209-846-7333;1
C10538;+1 406-670-1222;0
C10539;+1 202-374-0818;0
C10540;+1 332-845-8269;1
C10542;+1 201-439-6429;3
C10543;+1 206-361-0021;0
C10544;+1 223-714-0229;0
C10545;+1 352-539-5537;3
C10546;+1 205-969-9063;3
C10547;+1 240-714-6866;0
C10548;+1 413-838-6233;0
C10549;+1 405-894-5630;2
C10550;+1 517-777-7621;1
C10551;+1 248-521-7976;1
C10552;+1 408-478-9558;0
C10553;+1 828-912-9100;2
C10554;+1 314-303-9028;3
C10555;+1 305-967-9218;1
C10556;+1 310-978-5162;3
C10557;+1 201-698-5127;1
C10558;+1 231-685-8943;0
C10559;+1 317-574-7498;0
C10560;+1 201-944-8111;3
C10561;+1 305-597-8622;0
C10562;+1 205-430-6578;2
C10563;+1 518-685-7689;0
C10564;+1 239-994-8317;2
C10565;+1 314-800-0801;0
C10566;+1 202-817-8685;2
C10567;+1 201-401-7230;0
C10568;+1 212-548-7348;2
C10569;+1 214-738-3476;3
C10570;+1 210-715-1269;0
C10571;+1 539-869-0734;3
C10572;+1 409-850-2200;0
C10573;+1 201-207-8365;3
C10574;+1 207-925-5019;2
C10575;+1 224-503-1992;3
C10576;+1 512-491-9322;2
C10577;+1 213-887-6683;3
C10578;+1 216-432-4618;0
C10579;+1 409-995-3249;3
C10580;+1 907-830-2419;0
C10581;+1 224-610-2690;3
C10582;+1 407-383-0788;3
C10583;+1 308-686-1774;0
C10584;+1 603-313-4163;1
C10585;+1 201-336-7877;3
C10586;+1 315-414-4424;0
C10587;+1 214-963-8249;0
C10588;+1 689-593-7088;1
C10589;+1 319-209-2882;3
C10590;+1 213-265-3598;0
C10591;+1 218-590-4387;1
C10592;+1 220-766-2130;0
C10593;+1 208-290-9691;3
C10594;+1 202-347-2724;3
C10595;+1 207-723-8308;2
C10596;+1 203-706-8756;0
C10597;+1 223-739-5618;0
C10598;+1 405-271-7538;3
C10599;+1 305-598-5539;2
C10600;+1 408-455-9997;2
C10601;+1 201-499-1700;0
C10602;+1 302-819-4956;3
C10603;+1 229-304-5620;1
C10604;+1 517-417-8248;1
C10605;+1 217-399-7413;2
C10606;+1 303-753-2988;0
C10607;+1 316-749-6314;1
C10608;+1 225-280-6426;3
C10609;+1 201-965-8868;3
C10610;+1 248-509-9267;2
C10611;+1 501-251-2695;0
C10612;+1 219-706-1934;3
C10613;+1 309-885-1682;1
C10615;+1 820-504-7012;3
C10616;+1 220-739-7825;2
C10617;+1 209-874-4167;1
C10618;+1 209-248-2332;2
C10619;+1 720-322-6390;1
C10620;+1 251-624-4651;3
C10621;+1 276-649-1629;0
C10622;+1 234-712-4794;3
C10623;+1 214-946-4774;1
C10624;+1 443-327-6055;0
C10625;+1 331-262-4641;0
C10626;+1 619-852-4871;0
C10627;+1 515-319-1775;3
C10628;+1 321-410-8322;3
C10629;+1 215-801-4153;2
C10630;+1 223-708-8507;0
C10631;+1 316-980-0495;1
C10632;+1 219-231-2888;1
C10633;+1 425-873-8468;0
C10634;+1 251-480-2276;3
C10635;+1 408-321-5008;2
C10636;+1 321-232-7758;0
C10637;+1 224-224-6734;1
C10638;+1 424-560-1156;2
C10639;+1 503-585-5402;1
C10640;+1 224-228-9458;1
C10641;+1 239-436-5957;1
C10642;+1 720-558-4090;1
C10643;+1 201-522-9410;2
C10644;+1 203-909-5238;0
C10645;+1 313-606-4315;1
C10646;+1 239-688-4287;0
C10647;+1 248-386-4606;1
C10648;+1 414-557-4217;0
C10649;+1 201-280-6143;3
C10650;+1 309-653-7781;1
C10651;+1 346-943-7396;1
C10652;+1 308-606-5334;0
C10653;+1 224-604-3233;0
C10654;+1 206-752-1263;1
C10655;+1 231-501-1436;1
C10656;+1 239-475-7857;1
C10657;+1 218-867-2087;3
C10658;+1 210-553-0412;2
C10659;+1 208-470-5999;2
C10660;+1 207-692-8855;2
C10661;+1 201-978-0005;2
C10662;+1 314-754-9930;0
C10663;+1 229-801-7717;2
C10665;+1 215-266-1578;1
C10666;+1 530-760-2833;3
C10667;+1 202-890-5401;2
C10668;+1 253-906-8398;0
C10669;+1 301-591-0188;0
C10670;+1 712-693-5671;2
C10671;+1 518-814-4332;1
C10672;+1 409-861-6513;0
C10673;+1 208-808-0597;0
C10674;+1 412-595-4186;0
C10675;+1 231-973-8334;2
C10676;+1 319-790-0507;2
C10677;+1 319-936-9704;3
C10678;+1 215-200-0601;3
C10679;+1 301-621-2599;1
C10680;+1 409-719-4654;1
C10681;+1 336-384-2931;1
C10682;+1 309-630-0143;0
C10683;+1 360-325-6407;0
C10684;+1 207-221-5034;3
C10685;+1 239-323-4870;1
C10686;+1 225-219-8118;3
C10688;+1 323-335-4309;2
C10689;+1 219-977-3284;3
C10690;+1 219-320-1784;3
C10691;+1 234-452-3815;2
C10692;+1 347-967-1654;0
C10693;+1 205-407-5818;2
C10694;+1 419-954-1926;2
C10695;+1 217-242-4068;3
C10696;+1 620-259-7313;3
C10697;+1 517-965-2782;0
C10698;+1 458-692-2311;0
C10699;+1 216-616-1647;2
C10700;+1 206-816-6886;2
C10701;+1 309-550-7402;3
C10702;+1 636-761-0724;3
C10703;+1 341-611-4414;3
C10704;+1 201-599-3294;2
C10705;+1 326-281-4713;3
C10706;+1 214-738-2794;2
C10707;+1 425-421-4755;0
C10708;+1 701-538-1736;2
C10709;+1 215-683-8014;3
C10710;+1 205-966-8008;2
C10711;+1 203-529-2929;1
C10712;+1 304-656-2492;3
C10713;+1 619-855-2173;3
C10714;+1 423-834-4210;2
C10715;+1 505-844-0137;2
C10716;+1 312-758-5033;2
C10717;+1 510-538-3790;2
C10718;+1 208-544-1954;2
C10719;+1 281-809-8836;2
C10720;+1 423-497-6715;3
C10721;+1 223-794-2287;0
C10722;+1 216-815-6177;1
C10723;+1 336-928-7939;0
C10724;+1 425-821-7716;1
C10725;+1 207-714-0740;0
C10726;+1 229-748-4602;3
C10727;+1 207-982-8357;2
C10728;+1 419-433-2566;1
C10729;+1 216-563-9093;1
C10730;+1 210-853-0029;2
C10731;+1 209-380-7157;2
C10732;+1 248-920-3074;3
C10733;+1 212-677-8839;1
C10734;+1 239-489-2031;2
C10735;+1 234-797-7144;3
C10736;+1 212-224-4010;2
C10737;+1 212-259-5700;3
C10738;+1 309-530-9009;0
C10739;+1 313-988-0179;0
C10740;+1 216-720-2362;0
C10741;+1 419-571-3519;1
C10742;+1 203-665-0961;1
C10743;+1 407-636-7005;3
C10744;+1 219-526-7057;2
C10745;+1 212-240-0938;0
C10746;+1 402-991-5780;3
C10747;+1 234-488-7162;1
C10748;+1 213-888-7699;0
C10749;+1 206-279-5229;3
C10750;+1 206-321-0818;3
C10751;+1 713-983-0529;1
C10752;+1 203-467-4131;1
C10753;+1 307-707-3945;3
C10754;+1 314-739-5156;0
C10755;+1 225-763-2531;3
C10756;+1 406-869-3297;2
C10757;+1 404-572-9103;3
C10758;+1 234-910-6948;0
C10759;+1 346-514-3022;0
C10760;+1 213-735-6847;2
C10761;+1 321-536-5981;1
C10762;+1 201-652-5400;1
C10763;+1 210-629-0630;1
C10764;+1 319-246-1919;2
C10765;+1 305-586-1134;3
C10766;+1 209-890-1141;3
C10767;+1 248-585-7325;1
C10768;+1 315-780-7085;2
C10769;+1 225-956-9765;0
C10770;+1 225-908-7539;3
C10771;+1 325-879-6357;0
C10772;+1 318-346-5429;3
C10773;+1 724-922-7832;2
C10774;+1 308-903-8701;2
C10775;+1 504-839-2213;0
C10776;+1 425-807-3128;1
C10777;+1 240-718-5430;1
C10779;+1 209-511-6147;0
C10780;+1 317-203-6819;3
C10781;+1 415-430-9764;3
C10782;+1 308-763-2620;0
C10783;+1 336-968-0231;2
C10784;+1 312-243-2517;2
C10785;+1 205-601-0764;2
C10786;+1 517-388-7109;0
C10787;+1 316-330-9151;1
C10788;+1 517-694-9589;1
C10789;+1 425-239-0412;3
C10790;+1 201-519-9786;2
C10791;+1 308-496-7362;3
C10792;+1 318-595-0865;1
C10793;+1 234-944-9840;2
C10794;+1 223-563-3465;3
C10795;+1 330-557-2096;3
C10796;+1 325-724-3457;3
C10797;+1 314-663-1271;2
C10798;+1 225-901-5679;3
C10799;+1 310-557-4420;3
C10800;+1 321-509-0085;0
C10801;+1 206-559-1753;1
C10803;+1 443-988-2421;0
C10804;+1 201-647-3293;2
C10805;+1 434-501-9316;0
C10806;+1 281-985-1236;3
C10807;+1 423-634-0538;2
C10808;+1 313-806-3898;0
C10809;+1 205-917-0701;1
C10810;+1 209-441-3160;2
C10811;+1 412-732-6698;0
C10812;+1 309-589-8014;0
C10813;+1 321-521-6209;2
C10814;+1 210-823-7984;1
C10815;+1 210-722-8409;1
C10816;+1 508-653-1671;3
C10817;+1 520-428-9312;2
C10818;+1 801-922-9992;3
C10819;+1 512-971-2852;3
C10820;+1 618-485-6530;2
C10821;+1 213-526-7777;2
C10822;+1 212-829-8609;3
C10823;+1 417-712-2850;1
C10824;+1 320-873-8749;0
C10825;+1 828-612-2791;2
C10826;+1 406-997-9844;0
C10827;+1 712-340-4296;3
C10828;+1 310-276-7782;1
C10829;+1 424-930-3673;3
C10830;+1 412-455-9485;2
C10831;+1 443-937-7960;1
C10832;+1 202-830-1979;0
C10833;+1 424-873-8904;0
C10834;+1 725-769-6316;2
C10835;+1 207-323-3164;2
C10836;+1 317-908-5546;2
C10837;+1 202-749-8054;0
C10838;+1 279-428-3257;3
C10839;+1 206-619-8989;2
C10840;+1 318-750-9193;3
C10841;+1 303-419-0514;0
C10843;+1 228-971-0529;2
C10844;+1 305-585-2026;0
C10845;+1 337-442-1617;3
C10846;+1 213-503-9377;3
C10847;+1 302-803-3689;3
C10848;+1 219-241-9989;0
C10849;+1 217-811-8817;1
C10850;+1 231-249-5961;1
C10852;+1 317-721-0498;1
C10853;+1 309-213-9003;3
C10854;+1 217-898-8206;2
C10855;+1 218-801-9303;3
C10856;+1 234-369-6985;2
C10857;+1 206-519-3602;1
C10858;+1 209-409-6528;0
C10859;+1 225-482-8716;1
C10860;+1 817-791-1633;0
C10861;+1 239-422-5106;1
C10862;+1 423-661-1677;3
C10863;+1 218-811-0459;2
C10864;+1 331-436-2549;1
C10865;+1 203-418-9198;0
C10866;+1 203-778-0752;2
C10867;+1 320-501-8411;2
C10868;+1 208-553-0762;2
C10869;+1 214-922-2195;2
C10870;+1 539-910-6774;3
C10871;+1 214-429-3066;1
C10872;+1 309-334-3778;2
C10873;+1 318-284-9731;1
C10874;+1 209-912-1639;1
C10875;+1 217-533-3581;0
C10876;+1 223-337-8123;0
C10877;+1 307-529-8795;2
C10878;+1 224-786-4048;1
C10879;+1 201-903-4168;2
C10880;+1 217-671-4420;3
C10881;+1 217-781-3432;2
C10882;+1 304-922-8166;1
C10883;+1 202-407-3439;1
C10884;+1 207-723-3523;1
C10885;+1 212-361-5408;3
C10886;+1 325-422-6862;2
C10887;+1 332-408-9039;1
C10888;+1 228-921-3341;0
C10889;+1 225-864-0516;3
C10890;+1 209-885-7137;2
C10891;+1 215-937-1359;3
C10892;+1 203-549-2053;2
C10893;+1 409-998-9823;0
C10894;+1 201-555-2906;0
C10895;+1 510-925-5446;3
C10896;+1 205-311-0083;0
C10897;+1 207-307-2894;2
C10898;+1 201-935-5237;2
C10899;+1 209-671-5296;2
C10900;+1 214-949-2069;1
C10901;+1 209-428-6980;0
C10902;+1 224-978-4534;1
